"NPOT.per.yr","Site.name","Season","corr_spearman","Memo"
3,"01013500","MAM",NA,"all.modeled.values.are.the.same"
3,"01013500","JJA",0.596423,"OK"
3,"01013500","Annual",0.542649,"OK"
1,"01014000","SON",NA,"nyr.Nevents.over.zero<5"
1,"01014000","DJF",NA,"nyr.Nevents.over.zero<5"
1,"01014000","MAM",0.357985,"OK"
1,"01014000","JJA",NA,"nyr.Nevents.over.zero<5"
1,"01014000","Annual",0.415221,"OK"
2,"01014000","SON",0.227824,"OK"
2,"01014000","DJF",0.483061,"OK"
2,"01014000","MAM",0.366395,"OK"
2,"01014000","JJA",0.242562,"OK"
2,"01014000","Annual",0.663168,"OK"
3,"01014000","SON",0.597029,"OK"
3,"01014000","DJF",0.372282,"OK"
3,"01014000","MAM",NA,"all.modeled.values.are.the.same"
3,"01014000","JJA",0.438992,"OK"
3,"01014000","Annual",0.53046,"OK"
1,"01015800","SON",0.359811,"OK"
1,"01015800","DJF",NA,"nyr.Nevents.over.zero<5"
1,"01015800","MAM",0.505601,"OK"
1,"01015800","JJA",NA,"nyr.Nevents.over.zero<5"
1,"01015800","Annual",0.493195,"OK"
2,"01015800","SON",0.507589,"OK"
2,"01015800","DJF",NA,"nyr.Nevents.over.zero<5"
2,"01015800","MAM",0.353033,"OK"
2,"01015800","JJA",NA,"all.modeled.values.are.the.same"
2,"01015800","Annual",0.522288,"OK"
3,"01015800","SON",0.627875,"OK"
3,"01015800","DJF",0.250293,"OK"
3,"01015800","MAM",NA,"all.modeled.values.are.the.same"
3,"01015800","JJA",0.294955,"OK"
3,"01015800","Annual",0.533431,"OK"
1,"01017000","SON",0.336175,"OK"
1,"01017000","DJF",NA,"nyr.Nevents.over.zero<5"
1,"01017000","MAM",0.482735,"OK"
1,"01017000","JJA",NA,"nyr.Nevents.over.zero<5"
1,"01017000","Annual",0.475787,"OK"
2,"01017000","SON",0.438186,"OK"
2,"01017000","DJF",0.362099,"OK"
2,"01017000","MAM",0.350693,"OK"
2,"01017000","JJA",0.378982,"OK"
2,"01017000","Annual",0.576785,"OK"
3,"01017000","SON",0.70446,"OK"
3,"01017000","DJF",0.214457,"OK"
3,"01017000","MAM",NA,"all.modeled.values.are.the.same"
3,"01017000","JJA",0.507044,"OK"
3,"01017000","Annual",0.540837,"OK"
1,"01018500","SON",NA,"nyr.Nevents.over.zero<5"
1,"01018500","DJF",0.352958,"OK"
1,"01018500","MAM",0.57651,"OK"
1,"01018500","JJA",0.29119,"OK"
1,"01018500","Annual",0.644316,"OK"
2,"01018500","SON",0.356479,"OK"
2,"01018500","DJF",0.532201,"OK"
2,"01018500","MAM",0.658574,"OK"
2,"01018500","JJA",0.311123,"OK"
2,"01018500","Annual",0.603956,"OK"
3,"01018500","SON",0.078111,"OK"
3,"01018500","DJF",0.543595,"OK"
3,"01018500","MAM",0.632419,"OK"
3,"01018500","JJA",0.132791,"OK"
3,"01018500","Annual",0.595451,"OK"
1,"01019000","SON",NA,"nyr.Nevents.over.zero<5"
1,"01019000","DJF",0.479221,"OK"
1,"01019000","MAM",0.443069,"OK"
1,"01019000","JJA",NA,"all.modeled.values.are.the.same"
1,"01019000","Annual",0.567472,"OK"
2,"01019000","SON",NA,"all.modeled.values.are.the.same"
2,"01019000","DJF",0.491792,"OK"
2,"01019000","MAM",0.569239,"OK"
2,"01019000","JJA",NA,"all.modeled.values.are.the.same"
2,"01019000","Annual",0.521151,"OK"
3,"01019000","SON",0.084213,"OK"
3,"01019000","DJF",0.557278,"OK"
3,"01019000","MAM",0.573617,"OK"
3,"01019000","JJA",0.3183,"OK"
3,"01019000","Annual",0.589453,"OK"
1,"01021000","SON",0.391441,"OK"
1,"01021000","DJF",0.435477,"OK"
1,"01021000","MAM",0.259912,"OK"
1,"01021000","JJA",0.281771,"OK"
1,"01021000","Annual",0.474358,"OK"
2,"01021000","SON",0.419644,"OK"
2,"01021000","DJF",0.471412,"OK"
2,"01021000","MAM",0.520289,"OK"
2,"01021000","JJA",0.443939,"OK"
2,"01021000","Annual",0.721881,"OK"
3,"01021000","SON",0.567419,"OK"
3,"01021000","DJF",0.547937,"OK"
3,"01021000","MAM",0.592899,"OK"
3,"01021000","JJA",0.521832,"OK"
3,"01021000","Annual",0.728021,"OK"
1,"01022500","SON",0.296093,"OK"
1,"01022500","DJF",0.435815,"OK"
1,"01022500","MAM",0.30859,"OK"
1,"01022500","JJA",NA,"nyr.Nevents.over.zero<5"
1,"01022500","Annual",0.450294,"OK"
2,"01022500","SON",0.329267,"OK"
2,"01022500","DJF",0.398823,"OK"
2,"01022500","MAM",0.495042,"OK"
2,"01022500","JJA",NA,"nyr.Nevents.over.zero<5"
2,"01022500","Annual",0.659073,"OK"
3,"01022500","SON",0.542866,"OK"
3,"01022500","DJF",0.592662,"OK"
3,"01022500","MAM",0.40585,"OK"
3,"01022500","JJA",0.454328,"OK"
3,"01022500","Annual",0.749096,"OK"
1,"01030500","SON",0.362099,"OK"
1,"01030500","DJF",-0.040719,"OK"
1,"01030500","MAM",0.544951,"OK"
1,"01030500","JJA",NA,"nyr.Nevents.over.zero<5"
1,"01030500","Annual",0.612863,"OK"
2,"01030500","SON",0.538638,"OK"
2,"01030500","DJF",0.227531,"OK"
2,"01030500","MAM",0.464481,"OK"
2,"01030500","JJA",0.336175,"OK"
2,"01030500","Annual",0.684616,"OK"
3,"01030500","SON",0.590786,"OK"
3,"01030500","DJF",0.382043,"OK"
3,"01030500","MAM",0.399692,"OK"
3,"01030500","JJA",0.097292,"OK"
3,"01030500","Annual",0.73314,"OK"
1,"01031500","SON",0.234633,"OK"
1,"01031500","DJF",0.567769,"OK"
1,"01031500","MAM",0.377304,"OK"
1,"01031500","JJA",NA,"nyr.Nevents.over.zero<5"
1,"01031500","Annual",0.59839,"OK"
2,"01031500","SON",0.617213,"OK"
2,"01031500","DJF",0.499376,"OK"
2,"01031500","MAM",0.39433,"OK"
2,"01031500","JJA",0.392111,"OK"
2,"01031500","Annual",0.672753,"OK"
3,"01031500","SON",0.778689,"OK"
3,"01031500","DJF",0.345281,"OK"
3,"01031500","MAM",0.358246,"OK"
3,"01031500","JJA",0.577069,"OK"
3,"01031500","Annual",0.765024,"OK"
1,"01034000","SON",0.501789,"OK"
1,"01034000","DJF",0.410958,"OK"
1,"01034000","MAM",0.498696,"OK"
1,"01034000","JJA",NA,"nyr.Nevents.over.zero<5"
1,"01034000","Annual",0.657107,"OK"
2,"01034000","SON",0.64222,"OK"
2,"01034000","DJF",0.427038,"OK"
2,"01034000","MAM",0.31395,"OK"
2,"01034000","JJA",0.205886,"OK"
2,"01034000","Annual",0.717148,"OK"
3,"01034000","SON",0.781913,"OK"
3,"01034000","DJF",0.418078,"OK"
3,"01034000","MAM",0.378225,"OK"
3,"01034000","JJA",0.552168,"OK"
3,"01034000","Annual",0.706711,"OK"
1,"01034500","SON",0.261434,"OK"
1,"01034500","DJF",0.336175,"OK"
1,"01034500","MAM",0.556543,"OK"
1,"01034500","JJA",NA,"nyr.Nevents.over.zero<5"
1,"01034500","Annual",0.614758,"OK"
2,"01034500","SON",0.51455,"OK"
2,"01034500","DJF",0.491531,"OK"
2,"01034500","MAM",0.373957,"OK"
2,"01034500","JJA",NA,"all.modeled.values.are.the.same"
2,"01034500","Annual",0.683592,"OK"
3,"01034500","SON",0.707193,"OK"
3,"01034500","DJF",0.420244,"OK"
3,"01034500","MAM",0.447114,"OK"
3,"01034500","JJA",0.247513,"OK"
3,"01034500","Annual",0.720859,"OK"
1,"01038000","SON",0.371564,"OK"
1,"01038000","DJF",0.451702,"OK"
1,"01038000","MAM",0.403085,"OK"
1,"01038000","JJA",NA,"nyr.Nevents.over.zero<5"
1,"01038000","Annual",0.4901,"OK"
2,"01038000","SON",0.306867,"OK"
2,"01038000","DJF",0.575159,"OK"
2,"01038000","MAM",0.609479,"OK"
2,"01038000","JJA",0.440985,"OK"
2,"01038000","Annual",0.682764,"OK"
3,"01038000","SON",0.568911,"OK"
3,"01038000","DJF",0.543223,"OK"
3,"01038000","MAM",0.457526,"OK"
3,"01038000","JJA",0.557259,"OK"
3,"01038000","Annual",0.748809,"OK"
1,"01042500","SON",0.569164,"OK"
1,"01042500","DJF",0.362099,"OK"
1,"01042500","MAM",0.753507,"OK"
1,"01042500","JJA",0.404924,"OK"
1,"01042500","Annual",0.819733,"OK"
2,"01042500","SON",0.583935,"OK"
2,"01042500","DJF",0.29119,"OK"
2,"01042500","MAM",0.667279,"OK"
2,"01042500","JJA",0.494176,"OK"
2,"01042500","Annual",0.770963,"OK"
3,"01042500","SON",0.730611,"OK"
3,"01042500","DJF",0.362145,"OK"
3,"01042500","MAM",0.614656,"OK"
3,"01042500","JJA",0.544437,"OK"
3,"01042500","Annual",0.784722,"OK"
1,"01046500","SON",-0.037793,"OK"
1,"01046500","DJF",0.490628,"OK"
1,"01046500","MAM",0.749889,"OK"
1,"01046500","JJA",0.447967,"OK"
1,"01046500","Annual",0.783095,"OK"
2,"01046500","SON",0.578054,"OK"
2,"01046500","DJF",0.538469,"OK"
2,"01046500","MAM",0.693048,"OK"
2,"01046500","JJA",0.629393,"OK"
2,"01046500","Annual",0.808448,"OK"
3,"01046500","SON",0.731293,"OK"
3,"01046500","DJF",0.509414,"OK"
3,"01046500","MAM",0.504413,"OK"
3,"01046500","JJA",0.561323,"OK"
3,"01046500","Annual",0.838158,"OK"
1,"01047000","SON",0.153198,"OK"
1,"01047000","DJF",0.530591,"OK"
1,"01047000","MAM",0.489293,"OK"
1,"01047000","JJA",0.434789,"OK"
1,"01047000","Annual",0.583952,"OK"
2,"01047000","SON",0.525887,"OK"
2,"01047000","DJF",0.345216,"OK"
2,"01047000","MAM",0.56743,"OK"
2,"01047000","JJA",0.633054,"OK"
2,"01047000","Annual",0.775051,"OK"
3,"01047000","SON",0.747309,"OK"
3,"01047000","DJF",0.346299,"OK"
3,"01047000","MAM",0.510718,"OK"
3,"01047000","JJA",0.493632,"OK"
3,"01047000","Annual",0.776172,"OK"
1,"01048000","SON",0.277108,"OK"
1,"01048000","DJF",0.271505,"OK"
1,"01048000","MAM",0.417846,"OK"
1,"01048000","JJA",NA,"nyr.Nevents.over.zero<5"
1,"01048000","Annual",0.697699,"OK"
2,"01048000","SON",0.631611,"OK"
2,"01048000","DJF",0.520788,"OK"
2,"01048000","MAM",0.454467,"OK"
2,"01048000","JJA",0.665011,"OK"
2,"01048000","Annual",0.686237,"OK"
3,"01048000","SON",0.600429,"OK"
3,"01048000","DJF",0.360023,"OK"
3,"01048000","MAM",0.458598,"OK"
3,"01048000","JJA",0.53891,"OK"
3,"01048000","Annual",0.782159,"OK"
1,"01049000","SON",NA,"nyr.Nevents.over.zero<5"
1,"01049000","DJF",0.247266,"OK"
1,"01049000","MAM",0.427759,"OK"
1,"01049000","JJA",NA,"nyr.Nevents.over.zero<5"
1,"01049000","Annual",0.552728,"OK"
2,"01049000","SON",0.413201,"OK"
2,"01049000","DJF",0.562118,"OK"
2,"01049000","MAM",0.389277,"OK"
2,"01049000","JJA",0.358876,"OK"
2,"01049000","Annual",0.690063,"OK"
3,"01049000","SON",0.595168,"OK"
3,"01049000","DJF",0.394849,"OK"
3,"01049000","MAM",0.502263,"OK"
3,"01049000","JJA",0.549268,"OK"
3,"01049000","Annual",0.765281,"OK"
1,"01049265","SON",NA,"nyr.Nevents.over.zero<5"
1,"01049265","DJF",NA,"all.modeled.values.are.the.same"
1,"01049265","MAM",0.59877,"OK"
1,"01049265","JJA",NA,"nyr.Nevents.over.zero<5"
1,"01049265","Annual",0.49067,"OK"
2,"01049265","SON",0.521257,"OK"
2,"01049265","DJF",-0.026275,"OK"
2,"01049265","MAM",0.577516,"OK"
2,"01049265","JJA",0.64261,"OK"
2,"01049265","Annual",0.742561,"OK"
3,"01049265","SON",0.754389,"OK"
3,"01049265","DJF",0.388585,"OK"
3,"01049265","MAM",0.48219,"OK"
3,"01049265","JJA",0.78701,"OK"
3,"01049265","Annual",0.82802,"OK"
1,"01049500","SON",NA,"nyr.Nevents.over.zero<5"
1,"01049500","DJF",NA,"OK"
1,"01049500","MAM",0.403254,"OK"
1,"01049500","JJA",-0.04191,"OK"
1,"01049500","Annual",0.511892,"OK"
2,"01049500","SON",0.580568,"OK"
2,"01049500","DJF",0.622808,"OK"
2,"01049500","MAM",0.476362,"OK"
2,"01049500","JJA",0.33265,"OK"
2,"01049500","Annual",0.64851,"OK"
3,"01049500","SON",0.588795,"OK"
3,"01049500","DJF",0.726381,"OK"
3,"01049500","MAM",0.49744,"OK"
3,"01049500","JJA",0.405758,"OK"
3,"01049500","Annual",0.675444,"OK"
1,"01052500","SON",0.447861,"OK"
1,"01052500","DJF",NA,"nyr.Nevents.over.zero<5"
1,"01052500","MAM",0.508525,"OK"
1,"01052500","JJA",NA,"nyr.Nevents.over.zero<5"
1,"01052500","Annual",0.523902,"OK"
2,"01052500","SON",0.604912,"OK"
2,"01052500","DJF",NA,"all.modeled.values.are.the.same"
2,"01052500","MAM",0.350603,"OK"
2,"01052500","JJA",NA,"all.modeled.values.are.the.same"
2,"01052500","Annual",0.456217,"OK"
3,"01052500","SON",0.614624,"OK"
3,"01052500","DJF",NA,"all.modeled.values.are.the.same"
3,"01052500","MAM",0.292632,"OK"
3,"01052500","JJA",0.24572,"OK"
3,"01052500","Annual",0.435861,"OK"
1,"01053500","SON",NA,"nyr.Nevents.over.zero<5"
1,"01053500","DJF",NA,"nyr.Nevents.over.zero<5"
1,"01053500","MAM",0.578614,"OK"
1,"01053500","JJA",0.363643,"OK"
1,"01053500","Annual",0.606029,"OK"
2,"01053500","SON",0.57757,"OK"
2,"01053500","DJF",0.192943,"OK"
2,"01053500","MAM",0.710516,"OK"
2,"01053500","JJA",0.463128,"OK"
2,"01053500","Annual",0.779545,"OK"
3,"01053500","SON",0.679979,"OK"
3,"01053500","DJF",0.09115,"OK"
3,"01053500","MAM",0.55586,"OK"
3,"01053500","JJA",0.32604,"OK"
3,"01053500","Annual",0.765447,"OK"
1,"01054000","SON",0.422781,"OK"
1,"01054000","DJF",NA,"nyr.Nevents.over.zero<5"
1,"01054000","MAM",0.647306,"OK"
1,"01054000","JJA",0.447967,"OK"
1,"01054000","Annual",0.723345,"OK"
2,"01054000","SON",0.603363,"OK"
2,"01054000","DJF",0.362099,"OK"
2,"01054000","MAM",0.673392,"OK"
2,"01054000","JJA",0.58666,"OK"
2,"01054000","Annual",0.798122,"OK"
3,"01054000","SON",0.667638,"OK"
3,"01054000","DJF",0.129198,"OK"
3,"01054000","MAM",0.355413,"OK"
3,"01054000","JJA",0.492744,"OK"
3,"01054000","Annual",0.705805,"OK"
1,"01054200","SON",0.203111,"OK"
1,"01054200","DJF",-0.056766,"OK"
1,"01054200","MAM",NA,"all.modeled.values.are.the.same"
1,"01054200","JJA",0.246077,"OK"
1,"01054200","Annual",0.480222,"OK"
2,"01054200","SON",0.54749,"OK"
2,"01054200","DJF",0.175614,"OK"
2,"01054200","MAM",0.529292,"OK"
2,"01054200","JJA",0.163891,"OK"
2,"01054200","Annual",0.670388,"OK"
3,"01054200","SON",0.601412,"OK"
3,"01054200","DJF",0.444287,"OK"
3,"01054200","MAM",0.507998,"OK"
3,"01054200","JJA",0.423682,"OK"
3,"01054200","Annual",0.811671,"OK"
1,"01054500","SON",0.494845,"OK"
1,"01054500","DJF",NA,"all.modeled.values.are.the.same"
1,"01054500","MAM",0.558831,"OK"
1,"01054500","JJA",NA,"all.modeled.values.are.the.same"
1,"01054500","Annual",0.65013,"OK"
2,"01054500","SON",0.52923,"OK"
2,"01054500","DJF",0.357816,"OK"
2,"01054500","MAM",0.563927,"OK"
2,"01054500","JJA",0.469744,"OK"
2,"01054500","Annual",0.721988,"OK"
3,"01054500","SON",0.60853,"OK"
3,"01054500","DJF",0.253936,"OK"
3,"01054500","MAM",0.487496,"OK"
3,"01054500","JJA",0.573092,"OK"
3,"01054500","Annual",0.745859,"OK"
1,"01055000","SON",0.344687,"OK"
1,"01055000","DJF",0.251501,"OK"
1,"01055000","MAM",0.427297,"OK"
1,"01055000","JJA",0.447903,"OK"
1,"01055000","Annual",0.561279,"OK"
2,"01055000","SON",0.6533,"OK"
2,"01055000","DJF",0.371733,"OK"
2,"01055000","MAM",0.426254,"OK"
2,"01055000","JJA",0.493463,"OK"
2,"01055000","Annual",0.728333,"OK"
3,"01055000","SON",0.710631,"OK"
3,"01055000","DJF",0.347053,"OK"
3,"01055000","MAM",0.468896,"OK"
3,"01055000","JJA",0.434373,"OK"
3,"01055000","Annual",0.721383,"OK"
1,"01055500","SON",-0.037424,"OK"
1,"01055500","DJF",0.236798,"OK"
1,"01055500","MAM",0.549593,"OK"
1,"01055500","JJA",NA,"nyr.Nevents.over.zero<5"
1,"01055500","Annual",0.57513,"OK"
2,"01055500","SON",0.60664,"OK"
2,"01055500","DJF",0.346837,"OK"
2,"01055500","MAM",0.375457,"OK"
2,"01055500","JJA",0.58859,"OK"
2,"01055500","Annual",0.712605,"OK"
3,"01055500","SON",0.674784,"OK"
3,"01055500","DJF",0.408714,"OK"
3,"01055500","MAM",0.487259,"OK"
3,"01055500","JJA",0.555342,"OK"
3,"01055500","Annual",0.758267,"OK"
1,"01057000","SON",0.267598,"OK"
1,"01057000","DJF",0.400466,"OK"
1,"01057000","MAM",0.548301,"OK"
1,"01057000","JJA",NA,"nyr.Nevents.over.zero<5"
1,"01057000","Annual",0.597506,"OK"
2,"01057000","SON",0.607518,"OK"
2,"01057000","DJF",0.20863,"OK"
2,"01057000","MAM",0.442378,"OK"
2,"01057000","JJA",0.572488,"OK"
2,"01057000","Annual",0.66144,"OK"
3,"01057000","SON",0.476394,"OK"
3,"01057000","DJF",0.432449,"OK"
3,"01057000","MAM",0.268211,"OK"
3,"01057000","JJA",0.602369,"OK"
3,"01057000","Annual",0.636529,"OK"
1,"01059000","SON",-0.054031,"OK"
1,"01059000","DJF",0.446047,"OK"
1,"01059000","MAM",0.55997,"OK"
1,"01059000","JJA",0.434789,"OK"
1,"01059000","Annual",0.568722,"OK"
2,"01059000","SON",0.542218,"OK"
2,"01059000","DJF",0.434891,"OK"
2,"01059000","MAM",0.291493,"OK"
2,"01059000","JJA",0.560215,"OK"
2,"01059000","Annual",0.717832,"OK"
3,"01059000","SON",0.611921,"OK"
3,"01059000","DJF",0.450322,"OK"
3,"01059000","MAM",0.322125,"OK"
3,"01059000","JJA",0.474162,"OK"
3,"01059000","Annual",0.753114,"OK"
1,"01064500","SON",0.359324,"OK"
1,"01064500","DJF",0.149462,"OK"
1,"01064500","MAM",0.187962,"OK"
1,"01064500","JJA",0.561084,"OK"
1,"01064500","Annual",0.573844,"OK"
2,"01064500","SON",0.468257,"OK"
2,"01064500","DJF",0.257621,"OK"
2,"01064500","MAM",0.608222,"OK"
2,"01064500","JJA",0.378803,"OK"
2,"01064500","Annual",0.697732,"OK"
3,"01064500","SON",0.672928,"OK"
3,"01064500","DJF",0.382982,"OK"
3,"01064500","MAM",0.355198,"OK"
3,"01064500","JJA",0.236946,"OK"
3,"01064500","Annual",0.722758,"OK"
1,"01066000","SON",0.394019,"OK"
1,"01066000","DJF",NA,"all.modeled.values.are.the.same"
1,"01066000","MAM",0.406364,"OK"
1,"01066000","JJA",NA,"all.modeled.values.are.the.same"
1,"01066000","Annual",0.480103,"OK"
2,"01066000","SON",0.52429,"OK"
2,"01066000","DJF",0.428603,"OK"
2,"01066000","MAM",0.507661,"OK"
2,"01066000","JJA",0.447903,"OK"
2,"01066000","Annual",0.691062,"OK"
3,"01066000","SON",0.638119,"OK"
3,"01066000","DJF",0.454842,"OK"
3,"01066000","MAM",0.333125,"OK"
3,"01066000","JJA",0.335517,"OK"
3,"01066000","Annual",0.672042,"OK"
1,"01073000","SON",0.181155,"OK"
1,"01073000","DJF",NA,"all.modeled.values.are.the.same"
1,"01073000","MAM",0.535179,"OK"
1,"01073000","JJA",NA,"nyr.Nevents.over.zero<5"
1,"01073000","Annual",0.524046,"OK"
2,"01073000","SON",0.67898,"OK"
2,"01073000","DJF",0.195567,"OK"
2,"01073000","MAM",0.404668,"OK"
2,"01073000","JJA",0.276279,"OK"
2,"01073000","Annual",0.669568,"OK"
3,"01073000","SON",0.704606,"OK"
3,"01073000","DJF",0.514189,"OK"
3,"01073000","MAM",0.561241,"OK"
3,"01073000","JJA",0.491373,"OK"
3,"01073000","Annual",0.751175,"OK"
1,"01073500","SON",0.394019,"OK"
1,"01073500","DJF",NA,"all.modeled.values.are.the.same"
1,"01073500","MAM",0.548192,"OK"
1,"01073500","JJA",NA,"all.modeled.values.are.the.same"
1,"01073500","Annual",0.605499,"OK"
2,"01073500","SON",0.63133,"OK"
2,"01073500","DJF",0.354199,"OK"
2,"01073500","MAM",0.606522,"OK"
2,"01073500","JJA",0.590416,"OK"
2,"01073500","Annual",0.709807,"OK"
3,"01073500","SON",0.611281,"OK"
3,"01073500","DJF",0.671628,"OK"
3,"01073500","MAM",0.489907,"OK"
3,"01073500","JJA",0.624383,"OK"
3,"01073500","Annual",0.781004,"OK"
1,"01076500","SON",0.447078,"OK"
1,"01076500","DJF",0.24551,"OK"
1,"01076500","MAM",0.330912,"OK"
1,"01076500","JJA",0.362099,"OK"
1,"01076500","Annual",0.436171,"OK"
2,"01076500","SON",0.58464,"OK"
2,"01076500","DJF",0.196612,"OK"
2,"01076500","MAM",0.484319,"OK"
2,"01076500","JJA",0.220323,"OK"
2,"01076500","Annual",0.63635,"OK"
3,"01076500","SON",0.672524,"OK"
3,"01076500","DJF",0.297443,"OK"
3,"01076500","MAM",0.391133,"OK"
3,"01076500","JJA",0.456937,"OK"
3,"01076500","Annual",0.669712,"OK"
1,"01078000","SON",0.422781,"OK"
1,"01078000","DJF",-0.040748,"OK"
1,"01078000","MAM",0.536476,"OK"
1,"01078000","JJA",0.561084,"OK"
1,"01078000","Annual",0.515141,"OK"
2,"01078000","SON",0.275731,"OK"
2,"01078000","DJF",0.204146,"OK"
2,"01078000","MAM",0.435865,"OK"
2,"01078000","JJA",0.50046,"OK"
2,"01078000","Annual",0.530997,"OK"
3,"01078000","SON",0.630224,"OK"
3,"01078000","DJF",0.437226,"OK"
3,"01078000","MAM",0.562221,"OK"
3,"01078000","JJA",0.641077,"OK"
3,"01078000","Annual",0.705921,"OK"
1,"01081000","SON",NA,"nyr.Nevents.over.zero<5"
1,"01081000","DJF",0.371378,"OK"
1,"01081000","MAM",0.409286,"OK"
1,"01081000","JJA",0.552312,"OK"
1,"01081000","Annual",0.772213,"OK"
2,"01081000","SON",0.562212,"OK"
2,"01081000","DJF",0.536597,"OK"
2,"01081000","MAM",0.465742,"OK"
2,"01081000","JJA",0.669155,"OK"
2,"01081000","Annual",0.708575,"OK"
3,"01081000","SON",0.577246,"OK"
3,"01081000","DJF",0.480164,"OK"
3,"01081000","MAM",0.386354,"OK"
3,"01081000","JJA",0.534145,"OK"
3,"01081000","Annual",0.69442,"OK"
1,"01089100","SON",NA,"nyr.Nevents.over.zero<5"
1,"01089100","DJF",0.300565,"OK"
1,"01089100","MAM",NA,"all.modeled.values.are.the.same"
1,"01089100","JJA",NA,"nyr.Nevents.over.zero<5"
1,"01089100","Annual",0.248022,"OK"
2,"01089100","SON",0.614404,"OK"
2,"01089100","DJF",0.085898,"OK"
2,"01089100","MAM",0.283738,"OK"
2,"01089100","JJA",0.633489,"OK"
2,"01089100","Annual",0.721549,"OK"
3,"01089100","SON",0.632065,"OK"
3,"01089100","DJF",0.427639,"OK"
3,"01089100","MAM",0.308091,"OK"
3,"01089100","JJA",0.594075,"OK"
3,"01089100","Annual",0.492846,"OK"
1,"01092000","SON",0.330845,"OK"
1,"01092000","DJF",0.336175,"OK"
1,"01092000","MAM",0.389961,"OK"
1,"01092000","JJA",NA,"all.modeled.values.are.the.same"
1,"01092000","Annual",0.580187,"OK"
2,"01092000","SON",0.422648,"OK"
2,"01092000","DJF",0.41038,"OK"
2,"01092000","MAM",0.570903,"OK"
2,"01092000","JJA",0.491839,"OK"
2,"01092000","Annual",0.632642,"OK"
3,"01092000","SON",0.619981,"OK"
3,"01092000","DJF",0.382579,"OK"
3,"01092000","MAM",0.443061,"OK"
