"NPOT.per.yr","Site.name","Season","corr_spearman","Memo"
3,"01013500","DJF",0.274214,"OK"
3,"01013500","MAM",NA,"all.modeled.values.are.the.same"
3,"01013500","JJA",0.596423,"OK"
3,"01013500","Annual",0.521202,"OK"
1,"01014000","SON",NA,"nyr.Nevents.over.zero<5"
1,"01014000","DJF",NA,"nyr.Nevents.over.zero<5"
1,"01014000","MAM",0.311697,"OK"
1,"01014000","JJA",NA,"nyr.Nevents.over.zero<5"
1,"01014000","Annual",0.372162,"OK"
2,"01014000","SON",0.227824,"OK"
2,"01014000","DJF",0.475695,"OK"
2,"01014000","MAM",0.331591,"OK"
2,"01014000","JJA",0.108311,"OK"
2,"01014000","Annual",0.561759,"OK"
3,"01014000","SON",0.583673,"OK"
3,"01014000","DJF",0.261434,"OK"
3,"01014000","MAM",-0.219616,"OK"
3,"01014000","JJA",0.391986,"OK"
3,"01014000","Annual",0.487307,"OK"
1,"01015800","SON",0.359811,"OK"
1,"01015800","DJF",NA,"nyr.Nevents.over.zero<5"
1,"01015800","MAM",0.497978,"OK"
1,"01015800","JJA",NA,"nyr.Nevents.over.zero<5"
1,"01015800","Annual",0.420412,"OK"
2,"01015800","SON",0.42323,"OK"
2,"01015800","DJF",NA,"nyr.Nevents.over.zero<5"
2,"01015800","MAM",0.35464,"OK"
2,"01015800","JJA",NA,"all.modeled.values.are.the.same"
2,"01015800","Annual",0.514341,"OK"
3,"01015800","SON",0.627875,"OK"
3,"01015800","DJF",0.103524,"OK"
3,"01015800","MAM",NA,"all.modeled.values.are.the.same"
3,"01015800","JJA",0.295938,"OK"
3,"01015800","Annual",0.469562,"OK"
1,"01017000","SON",0.336175,"OK"
1,"01017000","DJF",NA,"nyr.Nevents.over.zero<5"
1,"01017000","MAM",0.482735,"OK"
1,"01017000","JJA",NA,"nyr.Nevents.over.zero<5"
1,"01017000","Annual",0.43285,"OK"
2,"01017000","SON",0.438186,"OK"
2,"01017000","DJF",0.230879,"OK"
2,"01017000","MAM",0.350693,"OK"
2,"01017000","JJA",0.129198,"OK"
2,"01017000","Annual",0.548133,"OK"
3,"01017000","SON",0.634104,"OK"
3,"01017000","DJF",0.109067,"OK"
3,"01017000","MAM",NA,"all.modeled.values.are.the.same"
3,"01017000","JJA",0.507044,"OK"
3,"01017000","Annual",0.484699,"OK"
1,"01018500","SON",NA,"nyr.Nevents.over.zero<5"
1,"01018500","DJF",0.352958,"OK"
1,"01018500","MAM",0.575693,"OK"
1,"01018500","JJA",0.29119,"OK"
1,"01018500","Annual",0.638165,"OK"
2,"01018500","SON",NA,"all.modeled.values.are.the.same"
2,"01018500","DJF",0.532528,"OK"
2,"01018500","MAM",0.615059,"OK"
2,"01018500","JJA",0.311123,"OK"
2,"01018500","Annual",0.51759,"OK"
3,"01018500","SON",0.078111,"OK"
3,"01018500","DJF",0.523781,"OK"
3,"01018500","MAM",0.620165,"OK"
3,"01018500","JJA",0.132376,"OK"
3,"01018500","Annual",0.584657,"OK"
1,"01019000","SON",NA,"nyr.Nevents.over.zero<5"
1,"01019000","DJF",0.394233,"OK"
1,"01019000","MAM",0.395066,"OK"
1,"01019000","JJA",NA,"all.modeled.values.are.the.same"
1,"01019000","Annual",0.530796,"OK"
2,"01019000","SON",NA,"all.modeled.values.are.the.same"
2,"01019000","DJF",0.491276,"OK"
2,"01019000","MAM",0.534211,"OK"
2,"01019000","JJA",NA,"all.modeled.values.are.the.same"
2,"01019000","Annual",0.445437,"OK"
3,"01019000","SON",0.084213,"OK"
3,"01019000","DJF",0.556333,"OK"
3,"01019000","MAM",0.556674,"OK"
3,"01019000","JJA",0.242886,"OK"
3,"01019000","Annual",0.508781,"OK"
1,"01021000","SON",0.391441,"OK"
1,"01021000","DJF",0.217548,"OK"
1,"01021000","MAM",0.220334,"OK"
1,"01021000","JJA",-0.037289,"OK"
1,"01021000","Annual",0.47263,"OK"
2,"01021000","SON",0.314808,"OK"
2,"01021000","DJF",0.398591,"OK"
2,"01021000","MAM",0.441264,"OK"
2,"01021000","JJA",0.339931,"OK"
2,"01021000","Annual",0.721881,"OK"
3,"01021000","SON",0.481267,"OK"
3,"01021000","DJF",0.545779,"OK"
3,"01021000","MAM",0.50376,"OK"
3,"01021000","JJA",0.434444,"OK"
3,"01021000","Annual",0.714687,"OK"
1,"01022500","SON",0.296093,"OK"
1,"01022500","DJF",0.379151,"OK"
1,"01022500","MAM",0.30859,"OK"
1,"01022500","JJA",NA,"nyr.Nevents.over.zero<5"
1,"01022500","Annual",0.425264,"OK"
2,"01022500","SON",0.32926,"OK"
2,"01022500","DJF",0.399988,"OK"
2,"01022500","MAM",0.495173,"OK"
2,"01022500","JJA",NA,"nyr.Nevents.over.zero<5"
2,"01022500","Annual",0.60228,"OK"
3,"01022500","SON",0.492084,"OK"
3,"01022500","DJF",0.592662,"OK"
3,"01022500","MAM",0.348152,"OK"
3,"01022500","JJA",0.45731,"OK"
3,"01022500","Annual",0.747012,"OK"
1,"01030500","SON",0.362099,"OK"
1,"01030500","DJF",-0.057984,"OK"
1,"01030500","MAM",0.490806,"OK"
1,"01030500","JJA",NA,"nyr.Nevents.over.zero<5"
1,"01030500","Annual",0.590678,"OK"
2,"01030500","SON",0.538638,"OK"
2,"01030500","DJF",0.091372,"OK"
2,"01030500","MAM",0.464481,"OK"
2,"01030500","JJA",0.336175,"OK"
2,"01030500","Annual",0.630134,"OK"
3,"01030500","SON",0.590786,"OK"
3,"01030500","DJF",0.355189,"OK"
3,"01030500","MAM",0.372331,"OK"
3,"01030500","JJA",0.097292,"OK"
3,"01030500","Annual",0.695864,"OK"
1,"01031500","SON",0.234633,"OK"
1,"01031500","DJF",0.567769,"OK"
1,"01031500","MAM",0.377304,"OK"
1,"01031500","JJA",NA,"nyr.Nevents.over.zero<5"
1,"01031500","Annual",0.588076,"OK"
2,"01031500","SON",0.617213,"OK"
2,"01031500","DJF",0.499376,"OK"
2,"01031500","MAM",0.361199,"OK"
2,"01031500","JJA",0.231307,"OK"
2,"01031500","Annual",0.666085,"OK"
3,"01031500","SON",0.773889,"OK"
3,"01031500","DJF",0.337924,"OK"
3,"01031500","MAM",0.318673,"OK"
3,"01031500","JJA",0.508117,"OK"
3,"01031500","Annual",0.750739,"OK"
1,"01034000","SON",0.32249,"OK"
1,"01034000","DJF",0.410958,"OK"
1,"01034000","MAM",0.498696,"OK"
1,"01034000","JJA",NA,"nyr.Nevents.over.zero<5"
1,"01034000","Annual",0.654591,"OK"
2,"01034000","SON",0.64222,"OK"
2,"01034000","DJF",0.42171,"OK"
2,"01034000","MAM",0.214924,"OK"
2,"01034000","JJA",0.205886,"OK"
2,"01034000","Annual",0.717148,"OK"
3,"01034000","SON",0.781913,"OK"
3,"01034000","DJF",0.385691,"OK"
3,"01034000","MAM",0.378804,"OK"
3,"01034000","JJA",0.467269,"OK"
3,"01034000","Annual",0.702613,"OK"
1,"01034500","SON",0.261434,"OK"
1,"01034500","DJF",0.336175,"OK"
1,"01034500","MAM",0.555649,"OK"
1,"01034500","JJA",NA,"nyr.Nevents.over.zero<5"
1,"01034500","Annual",0.613211,"OK"
2,"01034500","SON",0.51455,"OK"
2,"01034500","DJF",0.443478,"OK"
2,"01034500","MAM",0.284782,"OK"
2,"01034500","JJA",NA,"all.modeled.values.are.the.same"
2,"01034500","Annual",0.653367,"OK"
3,"01034500","SON",0.707303,"OK"
3,"01034500","DJF",0.420244,"OK"
3,"01034500","MAM",0.445969,"OK"
3,"01034500","JJA",0.247513,"OK"
3,"01034500","Annual",0.682761,"OK"
1,"01038000","SON",0.371564,"OK"
1,"01038000","DJF",0.447655,"OK"
1,"01038000","MAM",0.365123,"OK"
1,"01038000","JJA",NA,"nyr.Nevents.over.zero<5"
1,"01038000","Annual",0.489557,"OK"
2,"01038000","SON",0.235277,"OK"
2,"01038000","DJF",0.575159,"OK"
2,"01038000","MAM",0.55874,"OK"
2,"01038000","JJA",0.440985,"OK"
2,"01038000","Annual",0.643976,"OK"
3,"01038000","SON",0.568911,"OK"
3,"01038000","DJF",0.541871,"OK"
3,"01038000","MAM",0.442034,"OK"
3,"01038000","JJA",0.556859,"OK"
3,"01038000","Annual",0.727006,"OK"
1,"01042500","SON",0.568883,"OK"
1,"01042500","DJF",0.362099,"OK"
1,"01042500","MAM",0.753507,"OK"
1,"01042500","JJA",0.289577,"OK"
1,"01042500","Annual",0.814195,"OK"
2,"01042500","SON",0.575548,"OK"
2,"01042500","DJF",0.29119,"OK"
2,"01042500","MAM",0.608885,"OK"
2,"01042500","JJA",0.494176,"OK"
2,"01042500","Annual",0.752715,"OK"
3,"01042500","SON",0.730179,"OK"
3,"01042500","DJF",0.258847,"OK"
3,"01042500","MAM",0.580909,"OK"
3,"01042500","JJA",0.50018,"OK"
3,"01042500","Annual",0.766914,"OK"
1,"01046500","SON",-0.037793,"OK"
1,"01046500","DJF",0.287137,"OK"
1,"01046500","MAM",0.749889,"OK"
1,"01046500","JJA",0.447967,"OK"
1,"01046500","Annual",0.778159,"OK"
2,"01046500","SON",0.578054,"OK"
2,"01046500","DJF",0.414655,"OK"
2,"01046500","MAM",0.670467,"OK"
2,"01046500","JJA",0.524539,"OK"
2,"01046500","Annual",0.80017,"OK"
3,"01046500","SON",0.712031,"OK"
3,"01046500","DJF",0.509414,"OK"
3,"01046500","MAM",0.499293,"OK"
3,"01046500","JJA",0.5559,"OK"
3,"01046500","Annual",0.828521,"OK"
1,"01047000","SON",0.052658,"OK"
1,"01047000","DJF",0.530225,"OK"
1,"01047000","MAM",0.446225,"OK"
1,"01047000","JJA",-0.031506,"OK"
1,"01047000","Annual",0.575478,"OK"
2,"01047000","SON",0.525887,"OK"
2,"01047000","DJF",0.345216,"OK"
2,"01047000","MAM",0.531796,"OK"
2,"01047000","JJA",0.633054,"OK"
2,"01047000","Annual",0.761292,"OK"
3,"01047000","SON",0.708545,"OK"
3,"01047000","DJF",0.346299,"OK"
3,"01047000","MAM",0.443734,"OK"
3,"01047000","JJA",0.493632,"OK"
3,"01047000","Annual",0.766292,"OK"
1,"01048000","SON",0.149288,"OK"
1,"01048000","DJF",0.269721,"OK"
1,"01048000","MAM",0.417846,"OK"
1,"01048000","JJA",NA,"nyr.Nevents.over.zero<5"
1,"01048000","Annual",0.682046,"OK"
2,"01048000","SON",0.631611,"OK"
2,"01048000","DJF",0.444121,"OK"
2,"01048000","MAM",0.420302,"OK"
2,"01048000","JJA",0.665011,"OK"
2,"01048000","Annual",0.685301,"OK"
3,"01048000","SON",0.560159,"OK"
3,"01048000","DJF",0.251367,"OK"
3,"01048000","MAM",0.458598,"OK"
3,"01048000","JJA",0.416933,"OK"
3,"01048000","Annual",0.756595,"OK"
1,"01049000","SON",NA,"nyr.Nevents.over.zero<5"
1,"01049000","DJF",0.247266,"OK"
1,"01049000","MAM",0.427759,"OK"
1,"01049000","JJA",NA,"nyr.Nevents.over.zero<5"
1,"01049000","Annual",0.545877,"OK"
2,"01049000","SON",0.413201,"OK"
2,"01049000","DJF",0.562118,"OK"
2,"01049000","MAM",0.389277,"OK"
2,"01049000","JJA",0.287696,"OK"
2,"01049000","Annual",0.662306,"OK"
3,"01049000","SON",0.595168,"OK"
3,"01049000","DJF",0.394849,"OK"
3,"01049000","MAM",0.486497,"OK"
3,"01049000","JJA",0.504283,"OK"
3,"01049000","Annual",0.722842,"OK"
1,"01049265","SON",NA,"nyr.Nevents.over.zero<5"
1,"01049265","DJF",NA,"all.modeled.values.are.the.same"
1,"01049265","MAM",0.506163,"OK"
1,"01049265","JJA",NA,"nyr.Nevents.over.zero<5"
1,"01049265","Annual",0.487383,"OK"
2,"01049265","SON",0.521257,"OK"
2,"01049265","DJF",-0.026275,"OK"
2,"01049265","MAM",0.535313,"OK"
2,"01049265","JJA",0.64261,"OK"
2,"01049265","Annual",0.741679,"OK"
3,"01049265","SON",0.646748,"OK"
3,"01049265","DJF",0.190184,"OK"
3,"01049265","MAM",0.480625,"OK"
3,"01049265","JJA",0.692541,"OK"
3,"01049265","Annual",0.805716,"OK"
1,"01049500","SON",NA,"nyr.Nevents.over.zero<5"
1,"01049500","DJF",NA,"all.modeled.values.are.the.same"
1,"01049500","MAM",0.356624,"OK"
1,"01049500","JJA",-0.04191,"OK"
1,"01049500","Annual",0.479701,"OK"
2,"01049500","SON",0.580568,"OK"
2,"01049500","DJF",0.622787,"OK"
2,"01049500","MAM",0.436855,"OK"
2,"01049500","JJA",0.206399,"OK"
2,"01049500","Annual",0.638833,"OK"
3,"01049500","SON",0.545382,"OK"
3,"01049500","DJF",0.657713,"OK"
3,"01049500","MAM",0.461028,"OK"
3,"01049500","JJA",0.231047,"OK"
3,"01049500","Annual",0.652037,"OK"
1,"01052500","SON",0.447861,"OK"
1,"01052500","DJF",NA,"nyr.Nevents.over.zero<5"
1,"01052500","MAM",0.508525,"OK"
1,"01052500","JJA",NA,"nyr.Nevents.over.zero<5"
1,"01052500","Annual",0.42534,"OK"
2,"01052500","SON",0.604912,"OK"
2,"01052500","DJF",NA,"all.modeled.values.are.the.same"
2,"01052500","MAM",0.287286,"OK"
2,"01052500","JJA",NA,"all.modeled.values.are.the.same"
2,"01052500","Annual",0.42236,"OK"
3,"01052500","SON",0.614624,"OK"
3,"01052500","DJF",NA,"all.modeled.values.are.the.same"
3,"01052500","MAM",0.291307,"OK"
3,"01052500","JJA",0.24572,"OK"
3,"01052500","Annual",0.400878,"OK"
1,"01053500","SON",NA,"nyr.Nevents.over.zero<5"
1,"01053500","DJF",NA,"nyr.Nevents.over.zero<5"
1,"01053500","MAM",0.578614,"OK"
1,"01053500","JJA",0.362436,"OK"
1,"01053500","Annual",0.605148,"OK"
2,"01053500","SON",0.479399,"OK"
2,"01053500","DJF",-0.043552,"OK"
2,"01053500","MAM",0.710516,"OK"
2,"01053500","JJA",0.371611,"OK"
2,"01053500","Annual",0.774299,"OK"
3,"01053500","SON",0.621002,"OK"
3,"01053500","DJF",0.081243,"OK"
3,"01053500","MAM",0.538437,"OK"
3,"01053500","JJA",0.180995,"OK"
3,"01053500","Annual",0.714972,"OK"
1,"01054000","SON",0.422781,"OK"
1,"01054000","DJF",NA,"nyr.Nevents.over.zero<5"
1,"01054000","MAM",0.593749,"OK"
1,"01054000","JJA",0.447564,"OK"
1,"01054000","Annual",0.721844,"OK"
2,"01054000","SON",0.529937,"OK"
2,"01054000","DJF",0.362099,"OK"
2,"01054000","MAM",0.638624,"OK"
2,"01054000","JJA",0.525523,"OK"
2,"01054000","Annual",0.777326,"OK"
3,"01054000","SON",0.667638,"OK"
3,"01054000","DJF",0.132018,"OK"
3,"01054000","MAM",0.352565,"OK"
3,"01054000","JJA",0.470041,"OK"
3,"01054000","Annual",0.692255,"OK"
1,"01054200","SON",0.139912,"OK"
1,"01054200","DJF",-0.056766,"OK"
1,"01054200","MAM",NA,"all.modeled.values.are.the.same"
1,"01054200","JJA",0.240691,"OK"
1,"01054200","Annual",0.229369,"OK"
2,"01054200","SON",0.54749,"OK"
2,"01054200","DJF",0.16799,"OK"
2,"01054200","MAM",0.479353,"OK"
2,"01054200","JJA",0.159553,"OK"
2,"01054200","Annual",0.632955,"OK"
3,"01054200","SON",0.601412,"OK"
3,"01054200","DJF",0.398931,"OK"
3,"01054200","MAM",0.508801,"OK"
3,"01054200","JJA",0.41242,"OK"
3,"01054200","Annual",0.818193,"OK"
1,"01054500","SON",0.494845,"OK"
1,"01054500","DJF",NA,"all.modeled.values.are.the.same"
1,"01054500","MAM",0.558824,"OK"
1,"01054500","JJA",NA,"all.modeled.values.are.the.same"
1,"01054500","Annual",0.599956,"OK"
2,"01054500","SON",0.528444,"OK"
2,"01054500","DJF",0.126171,"OK"
2,"01054500","MAM",0.502238,"OK"
2,"01054500","JJA",0.469744,"OK"
2,"01054500","Annual",0.705505,"OK"
3,"01054500","SON",0.595963,"OK"
3,"01054500","DJF",0.253936,"OK"
3,"01054500","MAM",0.472658,"OK"
3,"01054500","JJA",0.495181,"OK"
3,"01054500","Annual",0.737429,"OK"
1,"01055000","SON",0.344041,"OK"
1,"01055000","DJF",0.246684,"OK"
1,"01055000","MAM",0.371243,"OK"
1,"01055000","JJA",0.447861,"OK"
1,"01055000","Annual",0.558985,"OK"
2,"01055000","SON",0.653221,"OK"
2,"01055000","DJF",0.309473,"OK"
2,"01055000","MAM",0.314366,"OK"
2,"01055000","JJA",0.493494,"OK"
2,"01055000","Annual",0.726022,"OK"
3,"01055000","SON",0.676528,"OK"
3,"01055000","DJF",0.347772,"OK"
3,"01055000","MAM",0.446397,"OK"
3,"01055000","JJA",0.4344,"OK"
3,"01055000","Annual",0.709834,"OK"
1,"01055500","SON",-0.037424,"OK"
1,"01055500","DJF",0.086833,"OK"
1,"01055500","MAM",0.505941,"OK"
1,"01055500","JJA",NA,"nyr.Nevents.over.zero<5"
1,"01055500","Annual",0.55713,"OK"
2,"01055500","SON",0.60664,"OK"
2,"01055500","DJF",0.307376,"OK"
2,"01055500","MAM",0.270044,"OK"
2,"01055500","JJA",0.477035,"OK"
2,"01055500","Annual",0.685882,"OK"
3,"01055500","SON",0.674408,"OK"
3,"01055500","DJF",0.366003,"OK"
3,"01055500","MAM",0.487259,"OK"
3,"01055500","JJA",0.555342,"OK"
3,"01055500","Annual",0.741502,"OK"
1,"01057000","SON",0.267598,"OK"
1,"01057000","DJF",0.400466,"OK"
1,"01057000","MAM",0.541929,"OK"
1,"01057000","JJA",NA,"nyr.Nevents.over.zero<5"
1,"01057000","Annual",0.596087,"OK"
2,"01057000","SON",0.547623,"OK"
2,"01057000","DJF",0.21156,"OK"
2,"01057000","MAM",0.416471,"OK"
2,"01057000","JJA",0.416696,"OK"
2,"01057000","Annual",0.634056,"OK"
3,"01057000","SON",0.432574,"OK"
3,"01057000","DJF",0.37768,"OK"
3,"01057000","MAM",0.268211,"OK"
3,"01057000","JJA",0.60038,"OK"
3,"01057000","Annual",0.606613,"OK"
1,"01059000","SON",-0.054031,"OK"
1,"01059000","DJF",0.313882,"OK"
1,"01059000","MAM",0.545824,"OK"
1,"01059000","JJA",0.291596,"OK"
1,"01059000","Annual",0.552106,"OK"
2,"01059000","SON",0.542218,"OK"
2,"01059000","DJF",0.389848,"OK"
2,"01059000","MAM",0.293485,"OK"
2,"01059000","JJA",0.489258,"OK"
2,"01059000","Annual",0.679108,"OK"
3,"01059000","SON",0.611921,"OK"
3,"01059000","DJF",0.397019,"OK"
3,"01059000","MAM",0.322125,"OK"
3,"01059000","JJA",0.474162,"OK"
3,"01059000","Annual",0.708843,"OK"
1,"01064500","SON",0.359324,"OK"
1,"01064500","DJF",0.149462,"OK"
1,"01064500","MAM",0.116173,"OK"
1,"01064500","JJA",0.394019,"OK"
1,"01064500","Annual",0.491761,"OK"
2,"01064500","SON",0.41115,"OK"
2,"01064500","DJF",0.250804,"OK"
2,"01064500","MAM",0.596467,"OK"
2,"01064500","JJA",0.378803,"OK"
2,"01064500","Annual",0.700869,"OK"
3,"01064500","SON",0.665619,"OK"
3,"01064500","DJF",0.342344,"OK"
3,"01064500","MAM",0.340676,"OK"
3,"01064500","JJA",0.240311,"OK"
3,"01064500","Annual",0.722758,"OK"
1,"01066000","SON",0.394019,"OK"
1,"01066000","DJF",NA,"all.modeled.values.are.the.same"
1,"01066000","MAM",0.406364,"OK"
1,"01066000","JJA",NA,"all.modeled.values.are.the.same"
1,"01066000","Annual",0.455464,"OK"
2,"01066000","SON",0.52429,"OK"
2,"01066000","DJF",0.365153,"OK"
2,"01066000","MAM",0.477224,"OK"
2,"01066000","JJA",0.447903,"OK"
2,"01066000","Annual",0.681819,"OK"
3,"01066000","SON",0.58841,"OK"
3,"01066000","DJF",0.423003,"OK"
3,"01066000","MAM",0.333125,"OK"
3,"01066000","JJA",0.335517,"OK"
3,"01066000","Annual",0.651008,"OK"
1,"01073000","SON",0.181155,"OK"
1,"01073000","DJF",NA,"all.modeled.values.are.the.same"
1,"01073000","MAM",0.535179,"OK"
1,"01073000","JJA",NA,"nyr.Nevents.over.zero<5"
1,"01073000","Annual",0.530635,"OK"
2,"01073000","SON",0.67898,"OK"
2,"01073000","DJF",0.195567,"OK"
2,"01073000","MAM",0.37418,"OK"
2,"01073000","JJA",0.276279,"OK"
2,"01073000","Annual",0.626414,"OK"
3,"01073000","SON",0.617978,"OK"
3,"01073000","DJF",0.488278,"OK"
3,"01073000","MAM",0.51935,"OK"
3,"01073000","JJA",0.356428,"OK"
3,"01073000","Annual",0.731148,"OK"
1,"01073500","SON",0.394019,"OK"
1,"01073500","DJF",-0.054031,"OK"
1,"01073500","MAM",0.491097,"OK"
1,"01073500","JJA",NA,"all.modeled.values.are.the.same"
1,"01073500","Annual",0.565704,"OK"
2,"01073500","SON",0.595794,"OK"
2,"01073500","DJF",0.356868,"OK"
2,"01073500","MAM",0.579566,"OK"
2,"01073500","JJA",0.336175,"OK"
2,"01073500","Annual",0.675111,"OK"
3,"01073500","SON",0.611281,"OK"
3,"01073500","DJF",0.66951,"OK"
3,"01073500","MAM",0.489907,"OK"
3,"01073500","JJA",0.624383,"OK"
3,"01073500","Annual",0.766591,"OK"
1,"01076500","SON",0.29119,"OK"
1,"01076500","DJF",0.185306,"OK"
1,"01076500","MAM",0.273323,"OK"
1,"01076500","JJA",0.362099,"OK"
1,"01076500","Annual",0.412645,"OK"
2,"01076500","SON",0.58464,"OK"
2,"01076500","DJF",0.196612,"OK"
2,"01076500","MAM",0.451461,"OK"
2,"01076500","JJA",0.15568,"OK"
2,"01076500","Annual",0.59503,"OK"
3,"01076500","SON",0.672524,"OK"
3,"01076500","DJF",0.299365,"OK"
3,"01076500","MAM",0.320213,"OK"
3,"01076500","JJA",0.456937,"OK"
3,"01076500","Annual",0.651512,"OK"
1,"01078000","SON",0.422781,"OK"
1,"01078000","DJF",-0.058026,"OK"
1,"01078000","MAM",0.494213,"OK"
1,"01078000","JJA",0.561084,"OK"
1,"01078000","Annual",0.422234,"OK"
2,"01078000","SON",0.275731,"OK"
2,"01078000","DJF",0.204146,"OK"
2,"01078000","MAM",0.408445,"OK"
2,"01078000","JJA",0.50046,"OK"
2,"01078000","Annual",0.512894,"OK"
3,"01078000","SON",0.58638,"OK"
3,"01078000","DJF",0.437226,"OK"
3,"01078000","MAM",0.562221,"OK"
3,"01078000","JJA",0.584405,"OK"
3,"01078000","Annual",0.682312,"OK"
1,"01081000","SON",NA,"nyr.Nevents.over.zero<5"
1,"01081000","DJF",0.374185,"OK"
1,"01081000","MAM",0.3781,"OK"
1,"01081000","JJA",0.552312,"OK"
1,"01081000","Annual",0.754269,"OK"
2,"01081000","SON",0.491645,"OK"
2,"01081000","DJF",0.491578,"OK"
2,"01081000","MAM",0.442206,"OK"
2,"01081000","JJA",0.562529,"OK"
2,"01081000","Annual",0.666739,"OK"
3,"01081000","SON",0.576967,"OK"
3,"01081000","DJF",0.480164,"OK"
3,"01081000","MAM",0.33833,"OK"
3,"01081000","JJA",0.510479,"OK"
3,"01081000","Annual",0.657763,"OK"
1,"01089100","SON",NA,"nyr.Nevents.over.zero<5"
1,"01089100","DJF",0.300565,"OK"
1,"01089100","MAM",NA,"all.modeled.values.are.the.same"
1,"01089100","JJA",NA,"nyr.Nevents.over.zero<5"
1,"01089100","Annual",-0.037325,"OK"
2,"01089100","SON",0.614404,"OK"
2,"01089100","DJF",0.093434,"OK"
2,"01089100","MAM",0.14783,"OK"
2,"01089100","JJA",0.633489,"OK"
2,"01089100","Annual",0.62602,"OK"
3,"01089100","SON",0.632065,"OK"
3,"01089100","DJF",0.36558,"OK"
3,"01089100","MAM",0.202931,"OK"
3,"01089100","JJA",0.594075,"OK"
3,"01089100","Annual",0.472187,"OK"
1,"01092000","SON",0.330845,"OK"
1,"01092000","DJF",0.210344,"OK"
1,"01092000","MAM",0.309668,"OK"
1,"01092000","JJA",NA,"all.modeled.values.are.the.same"
1,"01092000","Annual",0.571865,"OK"
2,"01092000","SON",0.422648,"OK"
2,"01092000","DJF",0.363481,"OK"
2,"01092000","MAM",0.557319,"OK"
2,"01092000","JJA",0.491839,"OK"
2,"01092000","Annual",0.616198,"OK"
3,"01092000","SON",0.602795,"OK"
3,"01092000","DJF",0.366847,"OK"
