"NPOT.per.yr","Site.name","SON","DJF","MAM","JJA"
1,"01094400","OK","OK","OK","nyr.Nevents.over.zero<5"
1,"01094500","OK","OK","OK","nyr.Nevents.over.zero<5"
1,"01096000","OK","OK","OK","nyr.Nevents.over.zero<5"
1,"01096500","OK","OK","OK","nyr.Nevents.over.zero<5"
1,"010965852","OK","OK","OK","nyr.Nevents.over.zero<5"
1,"01097000","OK","OK","OK","OK"
1,"01097300","nyr.Nevents.over.zero<5","OK","OK","OK"
1,"01098530","nyr.Nevents.over.zero<5","OK","OK","OK"
1,"01099500","OK","OK","OK","OK"
1,"01100000","OK","OK","OK","nyr.Nevents.over.zero<5"
1,"01100600","nyr.Nevents.over.zero<5","OK","OK","OK"
1,"01101000","nyr.Nevents.over.zero<5","OK","OK","nyr.Nevents.over.zero<5"
1,"01101500","OK","OK","OK","OK"
1,"01102000","OK","OK","OK","OK"
1,"01102500","OK","OK","OK","OK"
1,"01103500","OK","OK","OK","OK"
1,"01104000","OK","OK","OK","OK"
1,"01104200","nyr.Nevents.over.zero<5","OK","OK","OK"
1,"01104500","OK","OK","OK","OK"
1,"01105000","OK","OK","OK","OK"
1,"01105500","OK","OK","OK","OK"
1,"01105600","OK","OK","OK","OK"
1,"01105730","nyr.Nevents.over.zero<5","OK","OK","OK"
1,"01105870","OK","OK","OK","OK"
1,"011058837","OK","OK","OK","nyr.Nevents.over.zero<5"
1,"01109000","nyr.Nevents.over.zero<5","OK","OK","OK"
1,"01109060","nyr.Nevents.over.zero<5","OK","OK","OK"
1,"01109070","nyr.Nevents.over.zero<5","OK","OK","OK"
1,"01109403","nyr.Nevents.over.zero<5","OK","OK","nyr.Nevents.over.zero<5"
1,"01110000","OK","OK","OK","OK"
1,"01111300","OK","OK","OK","OK"
1,"01111500","OK","OK","OK","OK"
1,"01112500","OK","OK","OK","OK"
1,"01114000","nyr.Nevents.over.zero<5","OK","OK","OK"
1,"01114500","nyr.Nevents.over.zero<5","OK","OK","OK"
1,"01116000","OK","OK","OK","OK"
1,"01116500","OK","OK","OK","OK"
1,"01117000","OK","OK","OK","OK"
1,"01117350","OK","OK","OK","OK"
1,"01117420","nyr.Nevents.over.zero<5","OK","OK","OK"
1,"01117468","OK","OK","OK","OK"
1,"01117500","OK","OK","OK","OK"
1,"01117800","nyr.Nevents.over.zero<5","OK","OK","OK"
1,"01118000","OK","OK","OK","OK"
1,"01118300","OK","OK","OK","OK"
1,"01118500","OK","OK","OK","OK"
1,"01119500","OK","OK","OK","OK"
1,"01121000","OK","OK","OK","OK"
1,"01122000","nyr.Nevents.over.zero<5","OK","OK","OK"
1,"01122500","OK","OK","OK","OK"
1,"01123000","OK","OK","OK","OK"
1,"01124000","OK","OK","OK","OK"
1,"01124151","nyr.Nevents.over.zero<5","OK","OK","OK"
1,"01127000","OK","OK","OK","OK"
1,"01127500","OK","OK","OK","OK"
1,"01129200","OK","nyr.Nevents.over.zero<5","OK","OK"
1,"01129500","OK","OK","OK","nyr.Nevents.over.zero<5"
1,"01130000","OK","nyr.Nevents.over.zero<5","OK","nyr.Nevents.over.zero<5"
1,"01131500","OK","OK","OK","nyr.Nevents.over.zero<5"
1,"01134500","OK","OK","OK","OK"
1,"01135150","nyr.Nevents.over.zero<5","nyr.Nevents.over.zero<5","OK","nyr.Nevents.over.zero<5"
1,"01135300","nyr.Nevents.over.zero<5","nyr.Nevents.over.zero<5","OK","OK"
1,"01135500","OK","OK","OK","OK"
1,"01137500","OK","OK","OK","OK"
1,"01138500","OK","OK","OK","OK"
1,"01139000","OK","OK","OK","OK"
1,"01139800","nyr.Nevents.over.zero<5","OK","OK","OK"
1,"01142500","OK","OK","OK","OK"
1,"01144000","nyr.Nevents.over.zero<5","OK","OK","OK"
1,"01144500","OK","OK","OK","OK"
1,"01150900","nyr.Nevents.over.zero<5","OK","OK","nyr.Nevents.over.zero<5"
1,"01151500","OK","OK","OK","OK"
1,"01152500","OK","OK","OK","OK"
1,"01153550","OK","OK","OK","nyr.Nevents.over.zero<5"
1,"01154500","nyr.Nevents.over.zero<5","OK","OK","nyr.Nevents.over.zero<5"
1,"01155500","OK","OK","OK","nyr.Nevents.over.zero<5"
1,"01158000","OK","OK","OK","nyr.Nevents.over.zero<5"
1,"01161000","OK","OK","OK","nyr.Nevents.over.zero<5"
1,"01162000","OK","OK","OK","OK"
1,"01162500","OK","OK","OK","OK"
1,"01163200","OK","OK","OK","OK"
1,"01166500","OK","OK","OK","OK"
1,"01168500","OK","OK","OK","OK"
1,"01169000","OK","OK","OK","OK"
1,"01169900","OK","OK","OK","nyr.Nevents.over.zero<5"
1,"01170000","OK","OK","OK","OK"
1,"01170100","OK","OK","OK","OK"
1,"01170500","nyr.Nevents.over.zero<5","OK","OK","nyr.Nevents.over.zero<5"
1,"01171500","OK","OK","OK","OK"
1,"01172500","OK","OK","OK","OK"
1,"01173000","OK","OK","OK","nyr.Nevents.over.zero<5"
1,"01173500","OK","OK","OK","OK"
1,"01174500","OK","OK","OK","OK"
1,"01175500","nyr.Nevents.over.zero<5","OK","OK","OK"
1,"01175670","OK","OK","OK","nyr.Nevents.over.zero<5"
1,"01176000","OK","OK","OK","OK"
1,"01177000","OK","OK","OK","OK"
1,"01179500","OK","OK","OK","OK"
1,"01181000","OK","OK","OK","OK"
1,"01183500","OK","OK","OK","OK"
1,"01184000","OK","OK","OK","OK"
1,"01184100","OK","OK","OK","OK"
1,"01184490","OK","OK","OK","OK"
1,"01185500","OK","OK","OK","OK"
1,"01186000","OK","OK","OK","OK"
1,"01186500","OK","OK","OK","OK"
1,"01187300","OK","OK","OK","OK"
1,"01188000","OK","OK","OK","OK"
1,"01188090","OK","OK","OK","OK"
1,"01189000","OK","OK","OK","OK"
1,"01189995","OK","OK","OK","OK"
1,"01192500","OK","OK","OK","OK"
1,"01192883","nyr.Nevents.over.zero<5","OK","OK","OK"
1,"01193500","OK","OK","OK","OK"
1,"01195100","OK","OK","OK","OK"
1,"01195490","OK","OK","OK","OK"
1,"01196500","OK","OK","OK","OK"
1,"01196620","nyr.Nevents.over.zero<5","OK","OK","nyr.Nevents.over.zero<5"
1,"01197000","OK","OK","OK","OK"
1,"01197500","OK","OK","OK","OK"
1,"01199000","OK","OK","OK","OK"
1,"01199050","OK","OK","OK","OK"
1,"01200000","OK","OK","OK","OK"
1,"01200500","OK","OK","OK","OK"
1,"01204000","OK","OK","OK","OK"
1,"01205500","OK","OK","OK","OK"
1,"01206900","OK","OK","OK","OK"
1,"01208500","OK","OK","OK","OK"
1,"01208873","OK","OK","OK","OK"
1,"01208925","nyr.Nevents.over.zero<5","OK","OK","nyr.Nevents.over.zero<5"
1,"01208950","OK","OK","OK","OK"
1,"01208990","OK","OK","OK","OK"
1,"01209700","OK","OK","OK","OK"
1,"01303000","OK","OK","OK","OK"
1,"01303500","OK","OK","OK","OK"
1,"01304000","OK","OK","OK","OK"
1,"01304500","OK","OK","OK","OK"
1,"01305000","OK","OK","OK","OK"
1,"01305500","OK","OK","OK","OK"
1,"01306440","nyr.Nevents.over.zero<5","nyr.Nevents.over.zero<5","OK","OK"
1,"01306460","nyr.Nevents.over.zero<5","OK","OK","OK"
1,"01306495","nyr.Nevents.over.zero<5","OK","OK","OK"
1,"01306499","nyr.Nevents.over.zero<5","nyr.Nevents.over.zero<5","OK","OK"
1,"01306500","OK","OK","OK","OK"
1,"01308000","OK","OK","OK","OK"
1,"01308500","OK","OK","OK","OK"
1,"01309500","OK","OK","OK","OK"
1,"01309950","OK","OK","OK","OK"
1,"01309990","OK","OK","OK","OK"
1,"01310000","OK","OK","OK","OK"
1,"01310500","OK","OK","OK","OK"
1,"01311500","OK","OK","OK","OK"
1,"01315000","OK","nyr.Nevents.over.zero<5","OK","OK"
1,"01315500","OK","OK","OK","nyr.Nevents.over.zero<5"
1,"01318500","nyr.Nevents.over.zero<5","OK","OK","nyr.Nevents.over.zero<5"
1,"01321000","OK","OK","OK","nyr.Nevents.over.zero<5"
1,"01325000","nyr.Nevents.over.zero<5","OK","OK","OK"
1,"01327750","OK","OK","OK","nyr.Nevents.over.zero<5"
1,"01330000","OK","OK","OK","OK"
1,"01331095","nyr.Nevents.over.zero<5","OK","OK","nyr.Nevents.over.zero<5"
1,"01331500","OK","OK","OK","OK"
1,"01332500","OK","OK","OK","OK"
1,"01333000","OK","OK","OK","OK"
1,"01334000","OK","OK","OK","OK"
1,"01334500","OK","OK","OK","OK"
1,"01335754","nyr.Nevents.over.zero<5","OK","OK","OK"
1,"01336000","OK","OK","OK","OK"
1,"01346000","OK","OK","OK","OK"
1,"01347000","OK","OK","OK","OK"
1,"01350000","OK","OK","OK","OK"
1,"01350080","OK","OK","OK","OK"
1,"01350120","nyr.Nevents.over.zero<5","OK","OK","OK"
1,"01350140","OK","OK","OK","nyr.Nevents.over.zero<5"
1,"01350180","OK","OK","OK","OK"
1,"01350355","OK","OK","OK","OK"
1,"01351500","OK","OK","OK","OK"
1,"01357500","OK","OK","OK","OK"
1,"01358000","OK","OK","OK","nyr.Nevents.over.zero<5"
1,"01360640","OK","OK","OK","OK"
1,"01362200","OK","OK","OK","OK"
1,"01362500","OK","OK","OK","OK"
1,"01364500","OK","OK","OK","OK"
1,"01365000","OK","OK","OK","OK"
1,"01367500","OK","OK","OK","OK"
1,"01371500","OK","OK","OK","OK"
1,"01372500","OK","OK","OK","OK"
1,"01375000","OK","OK","OK","OK"
1,"01376800","OK","OK","OK","OK"
1,"01377000","OK","OK","OK","OK"
1,"01377500","OK","OK","OK","OK"
1,"01378500","OK","OK","OK","OK"
1,"01379000","OK","OK","OK","OK"
1,"01379500","OK","OK","OK","OK"
1,"01379530","OK","OK","OK","nyr.Nevents.over.zero<5"
1,"01379773","OK","OK","OK","OK"
1,"01379780","OK","OK","OK","OK"
1,"01380450","OK","OK","OK","OK"
1,"01381000","OK","OK","OK","OK"
1,"01381500","OK","OK","OK","OK"
1,"01381900","OK","OK","OK","nyr.Nevents.over.zero<5"
1,"01382500","OK","OK","OK","OK"
1,"01383500","OK","OK","OK","OK"
1,"01384500","OK","OK","OK","OK"
1,"01387000","nyr.Nevents.over.zero<5","OK","OK","OK"
1,"01387400","OK","OK","OK","nyr.Nevents.over.zero<5"
1,"01387420","OK","OK","OK","nyr.Nevents.over.zero<5"
1,"01387450","OK","OK","OK","nyr.Nevents.over.zero<5"
1,"01387500","OK","OK","OK","OK"
1,"01388000","OK","OK","OK","OK"
1,"01388500","OK","OK","OK","OK"
1,"01389500","OK","OK","OK","OK"
1,"01390500","OK","OK","OK","OK"
1,"01391000","OK","OK","OK","OK"
1,"01391500","OK","OK","OK","OK"
1,"01393450","OK","OK","OK","OK"
1,"01394500","OK","OK","OK","OK"
1,"01395000","OK","OK","OK","OK"
1,"01396500","OK","OK","OK","OK"
1,"01396582","OK","OK","OK","OK"
1,"01396660","OK","OK","OK","OK"
1,"01396800","OK","OK","OK","OK"
1,"01397000","OK","OK","OK","OK"
1,"01398000","OK","OK","OK","OK"
1,"01398500","OK","OK","OK","OK"
1,"01399500","OK","OK","OK","OK"
1,"01399670","OK","OK","OK","OK"
1,"01400000","OK","OK","OK","OK"
1,"01400500","OK","OK","OK","OK"
1,"01401000","OK","OK","OK","OK"
1,"01401650","OK","OK","OK","OK"
1,"01402000","OK","OK","OK","OK"
1,"01403060","OK","OK","OK","OK"
1,"01403150","OK","OK","OK","OK"
1,"01403400","OK","OK","OK","nyr.Nevents.over.zero<5"
1,"01403540","OK","OK","OK","OK"
1,"01405030","OK","nyr.Nevents.over.zero<5","OK","OK"
1,"01405400","OK","OK","OK","OK"
1,"01407500","OK","OK","OK","OK"
1,"01407705","OK","OK","OK","OK"
1,"01407760","OK","OK","OK","OK"
1,"01408000","OK","OK","OK","OK"
1,"01408029","OK","OK","OK","nyr.Nevents.over.zero<5"
1,"01408120","OK","OK","OK","OK"
1,"01408500","OK","OK","OK","OK"
1,"01409400","OK","OK","OK","OK"
1,"01410000","OK","OK","OK","OK"
1,"01410150","nyr.Nevents.over.zero<5","OK","OK","OK"
1,"01411000","OK","OK","OK","OK"
1,"01411300","OK","OK","OK","OK"
1,"01411500","OK","OK","OK","OK"
1,"01413500","OK","OK","OK","nyr.Nevents.over.zero<5"
1,"01414500","OK","OK","OK","nyr.Nevents.over.zero<5"
1,"01415000","OK","OK","OK","nyr.Nevents.over.zero<5"
1,"01417000","OK","OK","OK","OK"
1,"01417500","OK","OK","OK","OK"
1,"01420500","OK","OK","OK","OK"
1,"01421000","OK","OK","OK","OK"
1,"01423000","OK","OK","OK","nyr.Nevents.over.zero<5"
1,"01425000","OK","OK","OK","nyr.Nevents.over.zero<5"
1,"01426500","OK","OK","OK","nyr.Nevents.over.zero<5"
1,"01427510","OK","OK","OK","nyr.Nevents.over.zero<5"
1,"01428500","OK","OK","OK","nyr.Nevents.over.zero<5"
1,"01428750","OK","OK","OK","nyr.Nevents.over.zero<5"
1,"01429000","OK","OK","OK","OK"
1,"01429500","OK","OK","OK","OK"
1,"01430000","OK","OK","OK","nyr.Nevents.over.zero<5"
1,"01431500","OK","OK","OK","OK"
1,"01434000","OK","OK","OK","OK"
1,"01434017","OK","OK","OK","OK"
1,"01434025","OK","OK","OK","nyr.Nevents.over.zero<5"
1,"01434498","OK","OK","OK","nyr.Nevents.over.zero<5"
1,"01435000","OK","OK","OK","OK"
1,"01436000","OK","OK","OK","OK"
1,"01436690","nyr.Nevents.over.zero<5","nyr.Nevents.over.zero<5","OK","OK"
1,"01437500","OK","OK","OK","OK"
1,"01438500","OK","OK","OK","OK"
1,"01439500","OK","OK","OK","OK"
1,"01440000","OK","OK","OK","OK"
1,"01440400","OK","OK","OK","OK"
1,"01442500","OK","OK","OK","OK"
1,"01443280","OK","OK","OK","OK"
1,"01443500","OK","OK","OK","OK"
1,"01443900","OK","OK","OK","nyr.Nevents.over.zero<5"
1,"01445500","OK","OK","OK","OK"
1,"01446500","OK","OK","OK","OK"
1,"01447500","OK","OK","OK","OK"
1,"01447680","OK","OK","OK","OK"
1,"01447720","OK","OK","OK","OK"
1,"01447800","OK","OK","OK","OK"
1,"01449000","OK","OK","OK","OK"
1,"01449360","OK","OK","OK","OK"
1,"01449800","OK","OK","OK","OK"
1,"01450500","OK","OK","OK","OK"
1,"01451000","OK","OK","OK","OK"
1,"01451500","OK","OK","OK","OK"
1,"01451650","OK","OK","nyr.Nevents.over.zero<5","OK"
1,"01451800","OK","OK","OK","OK"
1,"01452000","OK","OK","OK","OK"
1,"01452500","OK","OK","OK","OK"
1,"01453000","OK","OK","OK","OK"
1,"01457000","OK","OK","OK","OK"
1,"01459500","OK","OK","OK","OK"
1,"01463500","OK","OK","OK","OK"
1,"01464000","OK","OK","OK","OK"
1,"01464500","OK","OK","OK","OK"
1,"01464645","OK","OK","OK","OK"
1,"01464720","OK","OK","OK","OK"
1,"01465798","OK","OK","OK","OK"
1,"01466500","OK","OK","OK","OK"
1,"01467000","OK","OK","OK","OK"
1,"01467048","OK","OK","OK","OK"
1,"01467081","OK","OK","OK","OK"
1,"01467150","OK","OK","OK","OK"
1,"01468500","OK","OK","OK","nyr.Nevents.over.zero<5"
1,"01469500","OK","OK","OK","OK"
1,"01470500","OK","OK","OK","OK"
1,"01470779","OK","OK","OK","OK"
1,"01470960","OK","OK","OK","OK"
1,"01471000","OK","OK","OK","OK"
1,"01471510","OK","OK","OK","OK"
1,"01472000","OK","OK","OK","OK"
1,"01472157","OK","OK","OK","OK"
1,"01472198","OK","OK","OK","OK"
1,"01472199","OK","OK","OK","OK"
1,"01472620","OK","OK","OK","OK"
1,"01472810","OK","OK","OK","OK"
1,"01473000","OK","OK","OK","OK"
1,"01473169","OK","OK","OK","OK"
1,"01474000","OK","OK","OK","OK"
1,"01474500","OK","OK","OK","OK"
1,"01475850","OK","OK","OK","OK"
1,"01476480","OK","OK","OK","OK"
1,"01477000","OK","OK","OK","OK"
1,"01477120","OK","OK","OK","OK"
1,"01477800","OK","OK","OK","OK"
1,"01478000","OK","OK","OK","OK"
1,"01479000","OK","OK","OK","OK"
1,"01479820","OK","OK","OK","OK"
1,"01480000","OK","OK","OK","OK"
1,"01480015","OK","OK","OK","OK"
1,"01480300","OK","OK","OK","OK"
1,"01480500","OK","OK","OK","OK"
1,"01480617","OK","OK","OK","OK"
1,"01480675","OK","OK","OK","OK"
1,"01480685","OK","OK","OK","nyr.Nevents.over.zero<5"
1,"01480700","OK","OK","OK","OK"
1,"01480870","OK","OK","OK","OK"
1,"01481000","OK","OK","OK","OK"
1,"01481500","OK","OK","OK","OK"
1,"01483200","OK","OK","OK","OK"
1,"01483700","OK","OK","OK","OK"
1,"01484100","OK","OK","OK","OK"
1,"01484525","OK","OK","OK","OK"
1,"01485000","OK","OK","OK","OK"
1,"01485500","OK","OK","OK","OK"
1,"01486000","OK","OK","OK","OK"
1,"01487000","OK","OK","OK","OK"
1,"01488500","OK","OK","OK","OK"
1,"01491000","OK","OK","OK","OK"
1,"01493000","OK","OK","OK","OK"
1,"01493500","OK","OK","OK","OK"
1,"01495000","OK","OK","OK","OK"
1,"01500000","OK","OK","OK","nyr.Nevents.over.zero<5"
1,"01502500","OK","OK","OK","nyr.Nevents.over.zero<5"
1,"01503000","OK","OK","OK","nyr.Nevents.over.zero<5"
1,"01505000","OK","OK","OK","nyr.Nevents.over.zero<5"
1,"01509000","OK","OK","OK","OK"
1,"01510000","OK","OK","OK","OK"
1,"01512500","OK","OK","OK","nyr.Nevents.over.zero<5"
1,"01515000","OK","OK","OK","nyr.Nevents.over.zero<5"
1,"01516350","OK","OK","OK","nyr.Nevents.over.zero<5"
1,"01516500","OK","OK","OK","OK"
1,"01518000","OK","OK","OK","OK"
1,"01518700","OK","OK","OK","OK"
1,"01518862","OK","OK","OK","nyr.Nevents.over.zero<5"
1,"01520000","OK","OK","OK","OK"
1,"01521500","OK","OK","OK","OK"
1,"01523500","OK","OK","OK","OK"
1,"01524500","OK","OK","OK","OK"
1,"01526500","OK","OK","OK","OK"
1,"01529500","OK","OK","OK","OK"
1,"01529950","OK","OK","OK","nyr.Nevents.over.zero<5"
1,"01531000","OK","OK","OK","nyr.Nevents.over.zero<5"
1,"01531500","OK","OK","OK","nyr.Nevents.over.zero<5"
1,"01532000","OK","OK","OK","OK"
1,"01533400","OK","OK","OK","nyr.Nevents.over.zero<5"
1,"01534000","OK","OK","OK","OK"
1,"01534300","OK","OK","OK","OK"
1,"01534500","OK","OK","OK","OK"
1,"01536000","OK","OK","OK","OK"
1,"01536500","OK","OK","OK","nyr.Nevents.over.zero<5"
1,"01538000","OK","OK","OK","OK"
1,"01539000","OK","OK","OK","OK"
1,"01540500","OK","OK","OK","nyr.Nevents.over.zero<5"
1,"01541000","OK","OK","OK","nyr.Nevents.over.zero<5"
1,"01541200","OK","OK","OK","OK"
1,"01541303","OK","OK","OK","nyr.Nevents.over.zero<5"
1,"01541500","OK","OK","OK","OK"
1,"01542810","OK","OK","OK","OK"
1,"01543000","OK","OK","OK","OK"
1,"01543500","OK","OK","OK","OK"
1,"01544000","OK","OK","OK","OK"
1,"01544500","OK","OK","OK","OK"
1,"01545000","OK","OK","OK","OK"
1,"01545500","OK","OK","OK","nyr.Nevents.over.zero<5"
1,"01545600","OK","OK","OK","OK"
1,"01546400","OK","OK","OK","nyr.Nevents.over.zero<5"
1,"01546500","OK","OK","OK","OK"
1,"01547100","OK","OK","OK","OK"
1,"01547200","OK","OK","OK","OK"
1,"01547500","OK","OK","OK","OK"
1,"01547700","OK","OK","OK","OK"
1,"01547950","OK","OK","OK","OK"
1,"01548500","OK","OK","OK","OK"
1,"01549500","OK","OK","OK","nyr.Nevents.over.zero<5"
1,"01549700","OK","OK","OK","OK"
1,"01550000","OK","OK","OK","OK"
1,"01551500","OK","OK","OK","nyr.Nevents.over.zero<5"
1,"01552000","OK","OK","OK","OK"
1,"01552500","OK","OK","OK","OK"
1,"01553500","OK","OK","OK","nyr.Nevents.over.zero<5"
1,"01553700","OK","OK","OK","OK"
1,"01554000","OK","OK","OK","nyr.Nevents.over.zero<5"
1,"01555000","OK","OK","OK","nyr.Nevents.over.zero<5"
1,"01555500","OK","OK","OK","nyr.Nevents.over.zero<5"
1,"01556000","OK","OK","OK","OK"
1,"01557500","OK","OK","OK","OK"
1,"01558000","OK","OK","OK","OK"
1,"01559000","OK","OK","OK","OK"
1,"01560000","OK","OK","OK","OK"
1,"01562000","OK","OK","OK","OK"
1,"01563200","OK","OK","OK","OK"
1,"01563500","OK","OK","OK","OK"
1,"01564500","OK","OK","OK","OK"
1,"01567000","OK","OK","OK","nyr.Nevents.over.zero<5"
1,"01567500","OK","OK","OK","OK"
1,"01568000","OK","OK","OK","OK"
1,"01570000","OK","OK","OK","OK"
1,"01570500","OK","OK","OK","nyr.Nevents.over.zero<5"
1,"01571500","OK","OK","OK","OK"
1,"01572025","OK","OK","OK","nyr.Nevents.over.zero<5"
1,"01572190","OK","OK","OK","nyr.Nevents.over.zero<5"
1,"01573000","OK","OK","OK","OK"
1,"01573560","OK","OK","OK","nyr.Nevents.over.zero<5"
1,"01574000","OK","OK","OK","nyr.Nevents.over.zero<5"
1,"01576000","OK","OK","OK","nyr.Nevents.over.zero<5"
1,"01576500","OK","OK","OK","OK"
1,"01576754","OK","OK","OK","OK"
1,"01578310","OK","OK","OK","nyr.Nevents.over.zero<5"
1,"01580000","OK","OK","OK","OK"
1,"01581700","OK","OK","OK","OK"
1,"01582000","OK","OK","OK","OK"
1,"01582500","OK","OK","OK","OK"
1,"01583100","OK","OK","nyr.Nevents.over.zero<5","OK"
1,"01583500","OK","OK","OK","OK"
1,"01583600","OK","OK","OK","OK"
1,"01584050","OK","OK","OK","OK"
1,"01585100","OK","OK","OK","OK"
1,"01585500","OK","OK","OK","OK"
1,"01586000","OK","OK","OK","OK"
1,"01586210","OK","OK","OK","OK"
1,"01586610","OK","OK","OK","OK"
1,"01589100","OK","OK","OK","OK"
1,"01589300","OK","OK","OK","OK"
1,"01589440","OK","OK","nyr.Nevents.over.zero<5","OK"
1,"01589500","OK","OK","OK","OK"
1,"01591000","OK","OK","OK","OK"
1,"01591400","OK","OK","OK","OK"
1,"01591610","OK","OK","OK","OK"
1,"01591700","OK","OK","OK","OK"
1,"01592500","OK","OK","OK","OK"
1,"01593500","OK","OK","OK","OK"
1,"01594000","OK","OK","OK","OK"
1,"01594440","OK","OK","OK","OK"
1,"01594526","OK","OK","OK","OK"
1,"01594950","nyr.Nevents.over.zero<5","OK","OK","OK"
1,"01595000","OK","OK","OK","OK"
1,"01596500","OK","OK","OK","nyr.Nevents.over.zero<5"
1,"01597500","OK","OK","OK","OK"
1,"01598500","OK","OK","OK","OK"
1,"01599000","OK","OK","OK","OK"
1,"01601500","OK","OK","OK","OK"
1,"01603000","nyr.Nevents.over.zero<5","OK","OK","OK"
1,"01604500","OK","OK","OK","nyr.Nevents.over.zero<5"
1,"01605500","OK","OK","OK","OK"
1,"01606500","OK","OK","OK","OK"
1,"01607500","OK","OK","OK","OK"
1,"01608000","OK","OK","OK","OK"
1,"01608500","OK","OK","OK","OK"
1,"01610000","OK","OK","OK","OK"
1,"01611500","OK","OK","OK","OK"
1,"01613000","OK","OK","OK","OK"
1,"01613050","OK","OK","OK","OK"
1,"01613900","OK","OK","OK","OK"
1,"01614500","OK","OK","OK","OK"
1,"01615000","OK","OK","OK","OK"
1,"01616500","OK","OK","OK","OK"
1,"01617800","OK","OK","OK","OK"
1,"01619500","OK","OK","OK","OK"
1,"01620500","OK","OK","OK","OK"
1,"01622000","OK","OK","OK","OK"
1,"01625000","OK","OK","OK","OK"
1,"01626000","OK","OK","OK","OK"
1,"01626850","OK","OK","OK","nyr.Nevents.over.zero<5"
1,"01627500","OK","OK","OK","OK"
1,"01628500","OK","OK","OK","OK"
1,"01629500","OK","OK","OK","OK"
1,"01631000","OK","OK","OK","OK"
1,"01632000","OK","OK","OK","OK"
1,"01632082","OK","OK","OK","OK"
1,"01632900","OK","OK","OK","OK"
1,"01633000","OK","OK","OK","OK"
1,"01634000","OK","OK","OK","OK"
1,"01634500","OK","OK","OK","OK"
1,"01635500","OK","OK","OK","OK"
1,"01636500","OK","OK","OK","OK"
1,"01637500","OK","OK","OK","OK"
1,"01638480","OK","OK","OK","nyr.Nevents.over.zero<5"
1,"01638500","OK","OK","OK","OK"
1,"01639000","OK","OK","OK","OK"
1,"01639500","OK","OK","OK","OK"
1,"01643000","OK","OK","OK","OK"
1,"01643500","OK","OK","OK","OK"
1,"01643700","OK","OK","OK","OK"
1,"01644000","OK","OK","OK","OK"
1,"01645000","OK","OK","OK","OK"
1,"01646000","OK","OK","OK","OK"
1,"01646500","OK","OK","OK","OK"
1,"01646502","OK","OK","OK","OK"
1,"01648000","OK","OK","OK","OK"
1,"01649500","OK","OK","OK","OK"
1,"01651000","OK","OK","OK","OK"
1,"01653000","OK","OK","OK","OK"
1,"01653600","OK","OK","OK","OK"
